시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
서울특별시 강남구 개포동,655-2,655,2,개포2차현대아파트(220),77.75,202006,23,"149,500",4,1988,언주로 103,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,54.98,202002,24,"144,000",4,1987,언주로 3,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202006,18,"162,750",4,1987,언주로 3,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202006,20,"160,000",5,1987,언주로 3,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202006,22,"150,000",2,1987,언주로 3,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,67.28,202006,25,"165,000",2,1987,언주로 3,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,67.28,202006,25,"165,000",2,1987,언주로 3,20200916
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,67.28,202006,25,"120,000",4,1987,언주로 3,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,67.28,202006,25,"165,000",2,1987,언주로 3,20200831
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202007,11,"169,800",4,1987,언주로 3,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202008,25,"178,000",5,1987,언주로 3,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,54.98,202012,4,"146,000",1,1987,언주로 3,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202012,28,"155,400",3,1987,언주로 3,
서울특별시 강남구 개포동,656,656,0,개포래미안포레스트,59.92,202012,23,"193,000",5,2020, ,
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,202001,9,"220,000",3,1984,개포로 307,
