시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202101,5,"220,000",3,1984,개포로 307,20210201
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202101,5,"220,000",3,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202101,11,"220,000",8,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202101,25,"145,000",6,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202102,9,"145,000",6,1984,개포로 307,20210223
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),134.3,202101,13,"239,500",8,2004,개포로109길 69,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),134.3,202101,21,"200,000",13,2004,개포로109길 69,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),170.32,202101,30,"270,000",19,2004,개포로109길 69,
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,53.06,202101,1,"178,000",3,1983,개포로 516,
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,53.06,202102,1,"200,000",12,1983,개포로 516,
서울특별시 강남구 개포동,185,185,0,개포주공 6단지,73.02,202102,28,"240,500",7,1983,개포로 516,
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,60.76,202101,7,"200,000",9,1983,개포로 516,
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,53.46,202101,14,"180,000",11,1983,개포로 516,
서울특별시 강남구 개포동,185,185,0,개포주공 7단지,73.26,202101,30,"235,000",1,1983,개포로 516,
서울특별시 강남구 개포동,655-1,655,1,개포현대200동,82.2,202101,22,"192,000",8,1986,언주로 105,
서울특별시 강남구 개포동,649,649,0,경남1,123.28,202101,7,"268,000",1,1984,언주로 110,
서울특별시 강남구 개포동,649,649,0,경남1,166.48,202101,9,"298,000",1,1984,언주로 110,
서울특별시 강남구 개포동,649,649,0,경남1,96.98,202103,11,"235,000",3,1984,언주로 110,
서울특별시 강남구 개포동,649,649,0,경남2차,182.2,202102,5,"327,000",11,1984,언주로 110,
서울특별시 강남구 개포동,649,649,0,경남2차,186.16,202102,6,"332,000",14,1984,언주로 110,
서울특별시 강남구 개포동,649,649,0,경남2차,182.2,202103,15,"300,000",1,1984,언주로 110,
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,84.6348,202101,22,"274,000",20,2019,삼성로 11,
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,59.8732,202103,2,"215,000",15,2019,삼성로 11,
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,76.1709,202103,9,"258,000",11,2019,삼성로 11,
서울특별시 강남구 개포동,138,138,0,디에이치아너힐즈,59.7479,202103,27,"213,000",7,2019,삼성로 11,
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,59.888,202101,7,"200,000",2,2019,선릉로 8,
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.943,202101,14,"267,000",6,2019,선릉로 8,
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.94,202101,18,"277,000",23,2019,선릉로 8,20210309
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,49.909,202102,6,"173,000",10,2019,선릉로 8,
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.943,202102,15,"251,000",1,2019,선릉로 8,
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,59.967,202102,16,"210,000",9,2019,선릉로 8,
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,59.967,202102,22,"200,000",5,2019,선릉로 8,
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,84.94,202103,9,"277,000",23,2019,선릉로 8,
서울특별시 강남구 개포동,1280,1280,0,래미안블레스티지,59.967,202103,10,"199,000",10,2019,선릉로 8,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202101,4,"157,000",13,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,202101,9,"124,500",1,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,202101,11,"125,000",4,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,51.12,202101,14,"150,000",13,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202101,15,"160,000",13,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,202101,19,"128,000",5,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,51.12,202102,3,"145,000",2,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202102,21,"164,000",6,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202102,22,"161,500",4,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,60,202102,28,"166,000",6,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,51.12,202103,2,"151,500",11,1992,개포로109길 21,
서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,202103,15,"126,500",6,1992,개포로109길 21,
서울특별시 강남구 개포동,1164-14,1164,14,새롬(1164-14),57.93,202103,25,"53,450",2,2000,논현로2길 38,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202101,4,"150,000",12,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202101,10,"127,000",10,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202101,13,"139,000",3,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202101,14,"153,000",8,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,202101,15,"145,000",4,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202101,20,"108,000",11,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202101,21,"111,000",12,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202101,26,"133,000",15,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202101,30,"108,500",8,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,202101,31,"109,000",6,1992,개포로109길 9,
서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,202102,2,"127,000",1,1992,개포로109길 9,
