지역,2018-01(평균매매가격),2018-01(평균단위당매매가격),2018-01(중위매매가격),2018-01(중위단위당매매가격),2018-02(평균매매가격),2018-02(평균단위당매매가격),2018-02(중위매매가격),2018-02(중위단위당매매가격),2018-03(평균매매가격),2018-03(평균단위당매매가격),2018-03(중위매매가격),2018-03(중위단위당매매가격),2018-04(평균매매가격),2018-04(평균단위당매매가격),2018-04(중위매매가격),2018-04(중위단위당매매가격),2018-05(평균매매가격),2018-05(평균단위당매매가격),2018-05(중위매매가격),2018-05(중위단위당매매가격),2018-06(평균매매가격),2018-06(평균단위당매매가격),2018-06(중위매매가격),2018-06(중위단위당매매가격),2018-07(평균매매가격),2018-07(평균단위당매매가격),2018-07(중위매매가격),2018-07(중위단위당매매가격),2018-08(평균매매가격),2018-08(평균단위당매매가격),2018-08(중위매매가격),2018-08(중위단위당매매가격),2018-09(평균매매가격),2018-09(평균단위당매매가격),2018-09(중위매매가격),2018-09(중위단위당매매가격),2018-10(평균매매가격),2018-10(평균단위당매매가격),2018-10(중위매매가격),2018-10(중위단위당매매가격),2018-11(평균매매가격),2018-11(평균단위당매매가격),2018-11(중위매매가격),2018-11(중위단위당매매가격),2018-12(평균매매가격),2018-12(평균단위당매매가격),2018-12(중위매매가격),2018-12(중위단위당매매가격),2019-01(평균매매가격),2019-01(평균단위당매매가격),2019-01(중위매매가격),2019-01(중위단위당매매가격),2019-02(평균매매가격),2019-02(평균단위당매매가격),2019-02(중위매매가격),2019-02(중위단위당매매가격),2019-03(평균매매가격),2019-03(평균단위당매매가격),2019-03(중위매매가격),2019-03(중위단위당매매가격),2019-04(평균매매가격),2019-04(평균단위당매매가격),2019-04(중위매매가격),2019-04(중위단위당매매가격),2019-05(평균매매가격),2019-05(평균단위당매매가격),2019-05(중위매매가격),2019-05(중위단위당매매가격),2019-06(평균매매가격),2019-06(평균단위당매매가격),2019-06(중위매매가격),2019-06(중위단위당매매가격),2019-07(평균매매가격),2019-07(평균단위당매매가격),2019-07(중위매매가격),2019-07(중위단위당매매가격),2019-08(평균매매가격),2019-08(평균단위당매매가격),2019-08(중위매매가격),2019-08(중위단위당매매가격),2019-09(평균매매가격),2019-09(평균단위당매매가격),2019-09(중위매매가격),2019-09(중위단위당매매가격),2019-10(평균매매가격),2019-10(평균단위당매매가격),2019-10(중위매매가격),2019-10(중위단위당매매가격),2019-11(평균매매가격),2019-11(평균단위당매매가격),2019-11(중위매매가격),2019-11(중위단위당매매가격),2019-12(평균매매가격),2019-12(평균단위당매매가격),2019-12(중위매매가격),2019-12(중위단위당매매가격),2020-01(평균매매가격),2020-01(평균단위당매매가격),2020-01(중위매매가격),2020-01(중위단위당매매가격),2020-02(평균매매가격),2020-02(평균단위당매매가격),2020-02(중위매매가격),2020-02(중위단위당매매가격),2020-03(평균매매가격),2020-03(평균단위당매매가격),2020-03(중위매매가격),2020-03(중위단위당매매가격),2020-04(평균매매가격),2020-04(평균단위당매매가격),2020-04(중위매매가격),2020-04(중위단위당매매가격),2020-05(평균매매가격),2020-05(평균단위당매매가격),2020-05(중위매매가격),2020-05(중위단위당매매가격),2020-06(평균매매가격),2020-06(평균단위당매매가격),2020-06(중위매매가격),2020-06(중위단위당매매가격)
전국,176088,4293,155641,4185,176736,4304,155747,4193,177144,4314,156285,4208,177497,4318,156641,4216,177819,4324,156989,4214,178010,4327,157037,4224,178012,4326,157215,4230,178205,4329,157717,4232,178493,4334,157919,4232,178739,4339,157921,4245,178714,4338,158125,4233,178694,4337,158064,4229,178554,4331,157946,4222,178363,4326,157631,4215,178188,4321,157539,4195,178029,4316,157529,4190,177840,4310,157500,4186,177723,4306,157506,4176,177594,4301,157219,4176,177633,4301,157335,4181,177709,4300,157364,4178,177717,4300,157685,4172,177942,4303,157880,4175,178182,4305,157983,4173,178372,4308,157988,4177,178455,4307,157749,4177,178493,4307,157395,4170,178426,4304,157552,4174,178266,4300,157255,4168,178265,4298,157028,4162
수도권,189101,4710,170113,4595,189929,4724,170314,4606,190471,4737,171027,4624,190986,4744,171485,4635,191435,4752,171930,4632,191701,4758,172186,4644,191747,4757,172451,4653,192032,4762,173066,4655,192427,4769,173373,4655,192757,4775,173431,4672,192769,4776,173680,4658,192775,4775,173681,4653,192623,4769,173548,4647,192405,4763,173210,4639,192217,4757,173161,4614,192061,4752,173212,4609,191895,4747,173201,4605,191791,4742,173219,4595,191702,4738,172903,4593,191781,4738,173057,4600,191930,4739,173239,4602,191997,4740,173697,4597,192296,4744,173998,4601,192602,4748,174166,4598,192827,4751,174202,4603,192847,4750,173942,4606,192904,4750,173537,4600,192877,4748,173820,4601,192731,4744,173467,4594,192729,4743,173245,4588
지방,121651,2546,95096,2471,121544,2544,94810,2467,121393,2541,94614,2466,121068,2536,94544,2463,120862,2533,94486,2462,120737,2528,93667,2468,120554,2523,93480,2462,120359,2519,93505,2459,120204,2515,93270,2458,120096,2511,93040,2458,119919,2507,93052,2455,119793,2503,92734,2453,119700,2499,92677,2447,119623,2497,92456,2444,119500,2494,92192,2443,119325,2490,91924,2436,119045,2484,91816,2434,118871,2481,91774,2427,118572,2475,91606,2428,118451,2472,91565,2428,118217,2465,90955,2404,117979,2460,90701,2394,117893,2457,90451,2393,117859,2455,90286,2393,117902,2454,90163,2393,118249,2454,90008,2385,118210,2452,89866,2371,117975,2447,89502,2388,117758,2440,89438,2386,117759,2437,89189,2382
서울,221357,5809,198135,5724,222545,5830,198280,5728,223355,5849,199639,5750,224104,5858,200248,5757,224745,5869,200977,5750,225374,5880,201347,5761,225673,5886,201959,5777,226143,5895,202775,5789,226798,5908,203361,5800,227269,5919,203516,5834,227407,5922,204584,5807,227353,5922,204586,5804,227170,5914,204744,5806,226951,5908,204329,5794,226757,5901,204234,5749,226596,5896,204128,5741,226458,5891,204336,5733,226413,5887,204369,5716,226487,5886,204051,5715,226719,5889,204284,5728,227020,5893,204539,5741,227215,5897,205015,5750,227796,5908,205505,5767,228393,5919,206223,5777,228858,5928,206291,5789,229112,5934,206482,5794,229260,5937,206922,5794,229380,5938,207136,5791,229362,5937,207144,5790,229518,5940,207120,5783
서울 도심권,281658,6783,265382,7090,283055,6817,266864,7090,284408,6853,268271,7124,285174,6867,270845,7118,285579,6869,271975,7069,285967,6877,272716,7086,286613,6887,277050,7153,288155,6908,280976,7153,289860,6931,282902,7172,290737,6955,282902,7199,291020,6955,281143,7199,290542,6944,281143,7166,290441,6933,283403,7160,289917,6920,283403,7160,289768,6911,282347,7053,289476,6903,280866,7053,289618,6901,283440,7016,289388,6895,282699,6991,289295,6893,283440,6991,288690,6887,283440,7045,288570,6885,283440,7050,288622,6886,283440,7076,289025,6896,283588,7086,289677,6912,283236,7118,290174,6924,283329,7118,290475,6930,283126,7124,290828,6939,283477,7127,290827,6939,283274,7127,290636,6937,283829,7128,290879,6942,284477,7130
서울 동북권,150520,5026,151166,4633,150719,5033,151577,4633,150959,5040,152077,4633,151154,5045,151488,4666,151389,5050,152488,4633,151759,5059,153577,4641,152062,5070,153577,4670,152384,5080,153755,4688,152887,5099,153755,4717,153236,5114,154988,4754,153693,5129,157399,4754,153763,5131,157604,4754,153641,5126,157399,4755,153466,5120,156577,4755,153297,5116,156488,4754,153059,5108,155863,4754,152961,5104,155863,4754,152860,5101,155863,4750,152901,5102,155863,4750,152946,5104,155774,4750,152970,5104,155774,4756,153066,5108,156185,4774,153284,5115,156685,4774,153494,5122,156363,4778,153792,5130,156042,4791,153951,5137,155720,4803,154066,5141,155631,4813,154043,5140,155542,4813,153935,5136,155131,4811,153980,5139,155131,4811
서울 서북권,200156,6085,188176,6051,200765,6106,189145,6064,201751,6139,189548,6081,202293,6157,189951,6097,203602,6185,190839,6121,204364,6201,192210,6191,204783,6211,193904,6227,204857,6216,194710,6268,205418,6234,195516,6285,206405,6255,194548,6356,206277,6252,194548,6356,206181,6247,193935,6327,205896,6239,193629,6324,205324,6220,192129,6248,205318,6218,192904,6203,205237,6213,192904,6203,205393,6213,192501,6203,205761,6211,192694,6165,205887,6208,191485,6156,206065,6209,192291,6169,206121,6212,192291,6169,206297,6214,192291,6169,206570,6224,192291,6169,207360,6244,192694,6178,208010,6257,192694,6229,208352,6268,192888,6229,208616,6275,193388,6230,208768,6274,193679,6211,208750,6274,193469,6211,209098,6276,192663,6204
서울 서남권,186320,4961,166027,4762,187206,4981,166027,4775,187837,4993,167443,4780,188765,5004,168553,4785,189537,5017,169317,4795,189917,5023,169427,4803,190430,5029,169580,4815,190660,5033,170385,4826,191176,5043,170343,4834,191707,5056,170648,4855,191991,5060,172496,4854,191921,5060,172954,4866,191796,5054,171564,4872,191778,5054,171564,4866,191573,5047,171564,4791,191498,5045,172259,4767,191446,5042,172259,4767,191353,5037,172259,4743,191487,5035,171564,4743,191648,5036,171870,4751,191804,5038,172175,4753,192158,5043,173286,4760,192832,5054,174049,4789,193622,5066,175923,4792,194065,5071,176228,4798,194362,5074,176381,4798,194471,5075,176686,4794,194645,5076,176686,4794,194715,5076,176686,4801,194828,5078,177033,4789
서울 동남권,286887,6746,240714,6790,289119,6770,240055,6783,290157,6792,242186,6834,291052,6796,242186,6832,291522,6801,242527,6818,292602,6818,242264,6805,292465,6818,241923,6791,293095,6832,241972,6792,293665,6840,243027,6793,293746,6838,243027,6825,293617,6837,243977,6735,293692,6842,243609,6735,293427,6831,245268,6735,293212,6824,244900,6735,292915,6817,244637,6727,292701,6810,244268,6727,292208,6798,244268,6714,292127,6796,244560,6708,292180,6795,244560,6711,292913,6805,244691,6723,293785,6817,245219,6761,293901,6822,245351,6766,294752,6834,245851,6786,295205,6842,246219,6799,295683,6850,246219,6805,295878,6858,246851,6813,295963,6860,247719,6813,296119,6862,248455,6811,296101,6862,248587,6799,296246,6865,248219,6791
부산,135070,2727,100678,2623,134988,2724,100245,2622,134781,2722,100001,2620,134404,2718,100001,2618,134113,2715,100001,2621,133909,2708,98936,2632,133736,2704,98936,2625,133539,2699,98936,2624,133416,2696,98723,2624,133254,2692,98440,2624,133044,2687,98440,2624,132879,2683,98050,2623,132706,2678,98050,2618,132607,2675,97909,2618,132459,2672,97550,2618,132226,2666,97191,2607,131863,2659,97050,2604,131657,2655,97050,2596,131327,2649,96909,2596,131195,2646,96909,2596,130895,2637,96196,2566,130568,2630,95909,2550,130478,2627,95588,2550,130494,2625,95376,2550,130577,2624,95197,2550,131070,2624,95018,2541,131000,2621,94838,2522,130720,2616,94344,2549,130452,2607,94306,2548,130490,2604,93909,2542
